Player,PTS,Salary
Fred VanVleet,20.3,"$19,675,926 "
Furkan Korkmaz,7.6,"$4,629,630 "
Gabe Vincent,8.7,"$1,669,178 "
Gabriel Deck,2.6,"$1,690,507 "
Garrett Temple,5.2,"$4,910,000 "
Garrison Mathews,10,"$1,093,598 "
Gary Clark,2.7,"$377,645 "
Gary Harris,11.1,"$20,482,143 "
Gary Payton II,7.1,"$1,939,350 "
Gary Trent Jr.,18.3,"$16,000,000 "
George Hill,6.2,"$4,000,000 "
Georges Niang,9.2,"$3,300,000 "
Georgios Kalaitzakis,17.5,"$462,629 "
Giannis Antetokounmpo,29.9,"$39,344,970 "
Goga Bitadze,7,"$3,098,400 "
Goran Dragić,7.3,"$20,168,742 "
Gordon Hayward,15.9,"$29,900,000 "
Gorgui Dieng,3.5,"$4,000,000 "
Grant Williams,7.8,"$2,617,800 "
Grayson Allen,11.1,"$4,054,695 "
Greg Brown III,4.7,"$925,258 "
Greg Monroe,4,"$55,208 "
Hamidou Diallo,11,"$5,200,000 "
Harrison Barnes,16.4,"$20,284,091 "
Hassan Whiteside,8.2,"$2,401,537 "
Haywood Highsmith,2.3,"$290,967 "
Herbert Jones,9.5,"$1,700,000 "
Immanuel Quickley,11.3,"$2,210,640 "
Isaac Bonga,0.8,"$1,729,217 "
Isaac Okoro,8.8,"$6,720,720 "
Isaiah Hartenstein,8.3,"$3,430,810 "
Isaiah Jackson,8.3,"$2,451,120 "
Isaiah Joe,3.6,"$1,517,981 "
Isaiah Livers,6.4,"$1,057,260 "
Isaiah Roby,10.1,"$1,782,621 "
Isaiah Stewart,8.3,"$3,277,080 "
Isaiah Thomas,8.3,"$276,039 "
Isaiah Todd,1.7,"$1,500,000 "
Ish Smith,8.6,"$4,500,000 "
Ish Wainright,2.4,"$8,558 "
Ivica Zubac,10.3,"$7,518,518 "
JT Thor,2,"$1,250,000 "
Ja Morant,27.4,"$9,603,360 "
JaMychal Green,6.4,"$8,292,683 "
JaVale McGee,9.2,"$5,000,000 "
Jabari Parker,4.4,"$1,068,288 "
Jaden McDaniels,9.2,"$2,063,280 "
Jaden Springer,1,"$2,023,800 "
Jae Crowder,9.4,"$9,720,900 "
Jae'Sean Tate,11.8,"$1,517,981 "
Jahmi'us Ramsey,3.2,"$1,517,981 "
Jake Layman,2.4,"$3,940,184 "
Jakob Poeltl,13.5,"$8,750,000 "
Jalen Brunson,16.3,"$1,802,057 "
Jalen Green,17.3,"$8,992,200 "
Jalen Johnson,2.4,"$2,659,560 "
Jalen McDaniels,6.2,"$1,782,621 "
Jalen Smith,13.4,"$4,458,000 "
Jalen Suggs,11.8,"$6,593,040 "
James Bouknight,4.6,"$4,154,400 "
James Harden,21,"$43,848,000 "
James Johnson,5.5,"$2,641,691 "
Jared Butler,3.8,"$925,258 "
Jaren Jackson Jr.,16.3,"$9,180,560 "
Jarred Vanderbilt,6.9,"$4,259,259 "
Jarrett Allen,16.1,"$20,000,000 "
Jarrett Culver,3.5,"$6,395,160 "
Javonte Green,7.2,"$1,669,178 "
Jaxson Hayes,9.3,"$5,348,280 "
Jaylen Brown,23.6,"$24,830,357 "
Jaylen Nowell,8.5,"$1,782,621 "
Jayson Tatum,26.9,"$28,103,550 "
Jeff Green,10.3,"$4,500,000 "
Jerami Grant,19.2,"$20,000,000 "
Jeremiah Robinson-Earl,7.5,"$2,000,000 "
Jeremy Lamb,7.9,"$10,500,000 "
Jevon Carter,5.6,"$4,107,149 "
Jimmy Butler,21.4,"$36,016,200 "
Jock Landale,4.9,"$925,258 "
Joe Harris,11.3,"$17,357,143 "
Joe Ingles,7.2,"$14,000,000 "
Joe Wieskamp,2.1,"$202,068 "
Joel Embiid,30.6,"$31,579,390 "
John Collins,16.2,"$23,000,000 "
John Konchar,4.8,"$2,197,674 "
Jonas Valančiūnas,17.8,"$14,000,000 "
Jonathan Kuminga,9.3,"$5,466,360 "
Jordan Clarkson,16,"$12,420,000 "
Jordan McLaughlin,3.8,"$1,669,178 "
Jordan Nwora,7.9,"$1,517,981 "
Jordan Poole,18.5,"$2,161,440 "
Jose Alvarado,6.1,"$1,500,000 "
Josh Christopher,7.9,"$2,259,240 "
Josh Giddey,12.5,"$5,988,000 "
Josh Green,4.8,"$2,957,520 "
Josh Hart,19.9,"$12,000,000 "
Josh Jackson,4.3,"$5,005,350 "
Josh Okogie,2.7,"$4,087,904 "
Josh Richardson,11.4,"$11,615,328 "
Joshua Primo,5.8,"$3,946,800 "
Jrue Holiday,18.3,"$30,133,333 "
Juan Toscano-Anderson,4.1,"$1,701,593 "
Juancho Hernangómez,6.2,"$6,175,440 "
Julius Randle,20.1,"$19,800,000 "
Justin Holiday,8.3,"$6,006,420 "
Justise Winslow,10.7,"$3,902,439 "
Jusuf Nurkić,15,"$12,000,000 "
Juwan Morgan,0,"$19,186 "
KZ Okpala,3.7,"$1,782,621 "
Kai Jones,1,"$2,770,560 "
Karl-Anthony Towns,24.6,"$31,610,000 "
Keifer Sykes,5.6,"$558,345 "
Keita Bates-Diop,5.7,"$1,729,217 "
Keldon Johnson,17,"$2,145,720 "
Kelly Olynyk,9.1,"$12,195,122 "
Kelly Oubre Jr.,15,"$12,000,000 "
Kemba Walker,11.6,"$34,967,442 "
Kenrich Williams,7.4,"$2,000,000 "
Kent Bazemore,3.4,"$2,401,537 "
Kentavious Caldwell-Pope,13.2,"$13,038,862 "
Kenyon Martin Jr.,8.8,"$1,517,981 "
Keon Johnson,9.7,"$2,553,120 "
Kessler Edwards,5.9,"$5,318 "
Kevin Durant,29.9,"$40,918,900 "
Kevin Huerter,12.1,"$4,253,357 "
Kevin Knox,2.7,"$5,845,978 "
Kevin Love,13.6,"$31,300,000 "
Kevin Pangos,1.6,"$1,669,178 "
Kevin Porter Jr.,15.6,"$2,130,240 "
Kevon Looney,6,"$5,178,572 "
Khem Birch,4.5,"$6,350,000 "
Khris Middleton,20.1,"$35,500,000 "
Killian Hayes,6.9,"$5,572,680 "
Killian Tillie,3.3,"$2,000,000 "
Kira Lewis Jr.,5.9,"$3,822,240 "
Klay Thompson,20.4,"$37,980,720 "
Kristaps Porziņģis,22.1,"$31,650,600 "
Kyle Anderson,7.6,"$9,937,150 "
Kyle Kuzma,17.1,"$13,000,000 "
