Player,PTS,Salary,degree
LaMarcus Aldridge,12.9,"$2,641,691 ",60
Myles Turner,12.9,"$18,000,000 ",60
Ryan Arcidiacono,1.6,"$586,136 ",60
Carmelo Anthony,13.3,"$2,641,691 ",61
Chris Duarte,13.1,"$3,749,520 ",61
Ricky Rubio,13.1,"$17,809,524 ",61
Isaiah Todd,1.7,"$1,500,000 ",63
Wayne Selden,1.7,"$785,102 ",63
Lonzo Ball,13,"$18,604,651 ",64
Cameron Johnson,12.5,"$4,437,000 ",66
Coby White,12.7,"$5,837,760 ",66
Josh Giddey,12.5,"$5,988,000 ",66
Malik Fitts,1.9,"$231,062 ",67
Marko Simonovic,1.9,"$925,258 ",67
Monte Morris,12.6,"$8,333,333 ",69
Brook Lopez,12.4,"$13,302,325 ",70
Victor Oladipo,12.4,"$2,389,641 ",70
JT Thor,2,"$1,250,000 ",72
Usman Garuba,2,"$2,353,320 ",72
Kevin Huerter,12.1,"$4,253,357 ",74
Lonnie Walker IV,12.1,"$4,447,896 ",74
Malik Beasley,12.1,"$14,391,964 ",74
Marcus Smart,12.1,"$14,339,285 ",74
Devin Vassell,12.3,"$4,235,160 ",75
Dylan Windler,2.2,"$2,239,200 ",76
Luke Kornet,2.2,"$606,702 ",76
Miles McBride,2.2,"$925,258 ",76
Joe Wieskamp,2.1,"$202,068 ",77
Abdel Nader,2.4,"$2,000,000 ",78
Bol Bol,2.4,"$2,161,152 ",78
Ish Wainright,2.4,"$8,558 ",78
Jake Layman,2.4,"$3,940,184 ",78
Jalen Johnson,2.4,"$2,659,560 ",78
Derrick Rose,12,"$13,445,120 ",81
Alize Johnson,2.3,"$705,598 ",82
Haywood Highsmith,2.3,"$290,967 ",82
Andre Drummond,11.8,"$2,401,537 ",84
Devonte' Graham,11.9,"$11,000,000 ",84
Doug McDermott,11.3,"$13,750,000 ",84
Immanuel Quickley,11.3,"$2,210,640 ",84
Jae'Sean Tate,11.8,"$1,517,981 ",84
Jalen Suggs,11.8,"$6,593,040 ",84
Joe Harris,11.3,"$17,357,143 ",84
Luke Kennard,11.9,"$12,727,273 ",84
Rui Hachimura,11.3,"$4,916,160 ",84
Alec Burks,11.7,"$9,536,000 ",85
Danilo Gallinari,11.7,"$20,475,000 ",85
Davion Mitchell,11.5,"$4,603,320 ",86
Josh Richardson,11.4,"$11,615,328 ",86
